id_Region,nom_Region,Ca_2022,Ca_2021,Ca_2020
1,Alsace-Champagne-Ardenne-Lorraine,2761721799,2373682523,2436325553
2,Aquitaine-Limousin-Poitou-Charentes,5250251762,4493803368,4425015204
3,Auvergne-Rhône-Alpes,10949204267,9709795617,8978867227
4,Bourgogne-Franche-Comté,3024731487,2735781954,2718360538
5,Bretagne,2994007971,2194004587,2333375974
6,Centre-Val de Loire,1852243101,1644066653,1713026274
7,Corse,66150791,62217568,47156932
8,Guadeloupe,31986726,20067293,23988802
9,Guyane,4572977,3218415,3073487
10,Ile-de-France,32030960828,24888726192,26919450841
11,La Réunion,156896935,131729274,138785969
12,Languedoc-Roussillon-Midi-Pyrénées,6635244454,5938282745,5375506436
13,Martinique,255585093,231522067,223967362
14,Nord-Pas-de-Calais-Picardie,5086752271,4477083866,4373689028
15,Normandie,1880645997,1710173320,1641916738
16,Pays-de-la-Loire,5611136015,5046699992,4958345140
17,Provence-Alpes-Côte d'Azur,2915407551,2635227711,2757887878
